# Gene Family,P1,P2,P3,P4,P5,P6
K07482,0.0,0.061,0.0,0.0,0.0,0.07
K07483,5.72,4.843,4.144,5.028,3.762,3.644
K07484,11.991,11.594,15.583,12.933,11.734,12.787
K07485,0.0,0.0,0.059,0.0,0.0,0.0
K07486,5.194,4.799,1.19,3.686,3.281,4.821
K07487,0.0,0.0,0.46,0.0,0.0,0.0
K07490,0.0,0.0,0.0,0.0,0.0,0.086
K07491,1.88,2.088,1.718,2.258,2.09,2.373
K07492,0.073,0.076,0.046,0.262,0.056,0.093
K07493,0.144,0.288,0.104,0.146,0.076,0.161
K07494,1.987,2.466,0.551,2.159,1.305,2.312
K07496,0.595,0.0,0.147,0.0,0.0,0.152
K07497,19.012,18.511,12.021,17.946,14.083,22.556
K07498,1.491,0.735,0.614,0.965,1.066,0.869
K07499,1.453,1.764,0.076,1.152,0.863,0.994
K07501,0.0,0.177,0.151,0.493,0.672,0.276
K07502,0.223,0.253,0.353,0.495,0.711,0.315
K07503,1.103,1.61,2.754,1.767,0.883,0.452
K07504,0.0,0.114,0.0,0.0,0.0,0.0
K07506,0.0,0.0,0.0,0.0,0.299,0.2
K07507,0.363,0.255,0.195,0.354,0.141,0.522
K07508,0.252,0.244,0.263,0.424,0.135,0.227
K07516,2.015,1.656,1.437,1.852,1.498,1.907
K07518,0.484,0.423,0.35,0.479,0.694,0.599
K07533,0.424,0.325,0.563,0.422,0.0,0.096
K07535,0.171,0.098,0.0,0.388,0.474,0.637
K07536,0.0,0.046,0.195,0.0,0.0,0.0
K07539,0.0,0.0,0.106,0.453,0.123,0.0
K07552,0.099,0.558,0.078,0.083,0.09,0.0
K07559,0.351,0.41,0.33,0.0,0.284,0.479
K07560,1.135,1.694,1.021,1.114,1.215,1.22
K07561,0.0,0.0,0.114,0.0,0.0,0.0
K07566,1.133,0.441,0.692,0.599,0.088,0.417
K07568,1.543,1.846,1.159,2.985,2.303,1.468
K07569,0.0,0.079,0.066,0.09,0.0,0.0
K07572,0.171,0.219,0.33,0.087,0.067,0.0
K07574,0.078,0.0,0.244,0.26,0.269,0.117
K07575,0.0,0.0,0.0,0.077,0.0,0.0
K07576,1.669,1.724,2.55,2.626,2.263,2.795
K07577,3.378,2.898,2.523,3.168,3.509,2.123
K07580,0.0,0.778,0.179,0.291,0.0,0.221
K07581,0.0,0.0,0.082,0.0,0.0,0.0
K07586,0.0,0.0,0.273,0.0,0.0,0.0
K07588,3.091,3.279,4.276,3.53,2.462,2.157
K07636,0.785,0.871,1.437,2.142,0.609,1.263
K07638,2.898,3.105,1.599,2.482,1.934,2.479
K07641,0.09,0.109,0.0,0.0,0.0,0.0
K07644,0.0,0.0,0.0,0.0,0.0,0.07
